system:index,category_bonus,distance_weighted_score,elevation,land_cover_class,mean_distance_to_water,mean_ndvi,nighttime_light,norm_distance_weighted,num_sources,pressure_score,random,score,slope,tile_id,water_point_population,water_source_category,.geo
18919,0.1,8.464552411050374,1064.858881803687,19.999999999999925,2000.0,0.5715446617427666,0.2228448255729152,0.4232276205525187,14,2.7980951991819203,5.264357739209746E-5,1.1505180889603315,2.223288342444231,tile_0,338.35714285714283,Well,"{""type"":""Polygon"",""coordinates"":[[[32.72,0.79],[32.730000000000004,0.79],[32.730000000000004,0.8],[32.72,0.8],[32.72,0.79]]]}"
5121,-0.1,3.5510522981789405,1097.3198208841372,19.999999999999968,819.4826423279764,0.4157179814964668,0.1835999982321963,0.17755261490894703,6,1.2733333309491475,5.5280423920778254E-5,0.3449526144321098,2.530332021972483,tile_1,63.666666666666664,Rainwater Harvesting,"{""type"":""Polygon"",""coordinates"":[[[32.12,0.81],[32.129999999999995,0.81],[32.129999999999995,0.8200000000000001],[32.12,0.8200000000000001],[32.12,0.81]]]}"
51436,-0.1,0.0,1045.6527641767304,30.000000000000046,159.50767754391413,0.38339980836843496,0.18538206087988476,0.0,0,0,6.503726078066485E-5,-0.1,1.3098886980568099,tile_2,0,Unknown,"{""type"":""Polygon"",""coordinates"":[[[34.13,1.6600000000000001],[34.139999999999986,1.66],[34.139999999999986,1.6700000000000002],[34.13,1.67],[34.13,1.6600000000000001]]]}"
12030,0.1,10.0,1084.6410283420437,20.000000000000007,2000.0,0.5824129643778195,0.2873667710720559,0.5,35,1.8148571348871503,8.441346676968386E-5,1.0434342841202873,2.7555938544825853,tile_3,402.3142857142857,Well,"{""type"":""Polygon"",""coordinates"":[[[32.42,0.9],[32.43,0.9],[32.42999999999999,0.9100000000000003],[32.42,0.9100000000000005],[32.42,0.9]]]}"
18575,0.1,0.9484574157063043,1065.1176966356138,20.000000000000092,449.81590089622154,0.326301532210583,0.17291764563205192,0.047422870785315215,1,1.5700000524520874,9.809992602471951E-5,0.5556228812757327,2.2661205969793534,tile_4,471.0,Well,"{""type"":""Polygon"",""coordinates"":[[[32.69999999999999,1.95],[32.71,1.9500000000000004],[32.71,1.9600000000000002],[32.699999999999996,1.9600000000000002],[32.69999999999999,1.95]]]}"
18915,0.1,10.0,1076.7238749241972,19.99999999999993,984.0369467220374,0.5893905539683348,0.2342554864861935,0.5,23,3.263043460534966,1.1901367513689198E-4,1.2958695652173913,2.483919571590468,tile_5,479.3478260869565,Well,"{""type"":""Polygon"",""coordinates"":[[[32.72,0.75],[32.73,0.75],[32.73,0.76],[32.72,0.76],[32.72,0.75]]]}"
44093,0.1,10.0,1050.118194189793,29.999999999999954,2000.0,0.2888462909941447,0.17375000071003097,0.5,16,1.6233333378036818,1.288963403673904E-4,1.0220666675607364,1.9537232634554815,tile_6,487.0,Well,"{""type"":""Polygon"",""coordinates"":[[[33.809999999999995,1.8300000000000007],[33.82,1.8300000000000003],[33.82,1.8399999999999996],[33.81,1.8399999999999996],[33.809999999999995,1.8300000000000007]]]}"
10857,0.1,10.0,1179.809733832947,20.000000000000075,2000.0,0.6787664808530689,0.3541222527202767,0.5,24,2.3084722386134997,1.4107016295716868E-4,1.1736194477227,6.45260525121006,tile_7,559.625,Well,"{""type"":""Polygon"",""coordinates"":[[[32.37,0.6699999999999999],[32.379999999999995,0.67],[32.379999999999995,0.68],[32.37,0.68],[32.37,0.6699999999999999]]]}"
22853,0.1,8.01278470111328,1063.6650645771163,10.000000000000002,2000.0,0.33756182330413836,0.2416860461482574,0.400639235055664,11,3.4666665999094644,1.6414683925669582E-4,1.1758210532374822,2.0906374798566416,tile_8,375.90909090909093,Well,"{""type"":""Polygon"",""coordinates"":[[[32.89,1.0300000000000002],[32.9,1.0300000000000002],[32.9,1.04],[32.89,1.04],[32.89,1.0300000000000002]]]}"
33268,0.1,7.6246758888815656,1034.0242622670828,80.0,425.7475885673624,-0.15048414900107387,0.1513704015532787,0.3812337944440783,13,2.3961538428526654,1.805898214352064E-4,1.1042337937838422,0.0575939840653707,tile_9,718.8461538461538,Well,"{""type"":""Polygon"",""coordinates"":[[[33.34,1.68],[33.349999999999994,1.6799999999999995],[33.35,1.69],[33.34,1.69],[33.34,1.68]]]}"
