latitude,longitude,status_id,water_source_clean,water_source_category,distance_to_primary_road,distance_to_secondary_road,distance_to_tertiary_road,distance_to_city,distance_to_town,local_population_1km,water_point_population,pressure_score,is_urban
-1.0370774269,34.3580455285,Yes,Borehole/Tubewell,Well,60473.07539355985,86.20851364109805,1282.7583490578445,61097.69309621102,12515.44934228704,1340.0,402.0,1.34,false
-0.8214683333,34.26834,Yes,Borehole/Tubewell,Well,56871.93575594114,4724.147147332188,4009.326904001192,58081.89647478077,30837.399520177914,1250.0,771.0,2.57,false
0.0657262928,34.7342461849,Yes,Protected Well,Well,15325.901741683225,2214.909447946696,540.7454314372815,18778.454399701888,2629.861609804196,5367.0,183.0,0.61,false
0.1332592132,34.6267843538,Yes,Protected Well,Well,8406.812488383313,1857.548455883732,3032.625665752844,21526.3736990665,5530.672157660254,2228.0,225.0,0.75,false
0.1230643714,34.6696500863,Yes,Protected Well,Well,11604.333717104104,255.52953424059595,1091.9745117611249,19847.64160605766,6131.868606921876,2972.0,279.0,0.93,false
0.1185111193,34.790191597,Yes,Protected Well,Well,18534.501263870057,237.32286025234023,2292.9638385012004,18762.65912582931,5598.195703899205,4853.0,732.0,2.44,false
0.1511498157,34.5399911328,Yes,Protected Well,Well,6143.55970804069,1589.4733534621794,6606.681766169153,27569.04771578265,6451.835746123665,3009.0,236.0,0.786666666666667,false
0.2049050718,34.5535256286,Yes,Protected Well,Well,11963.616809484747,1413.8626466924875,3492.546794732505,23526.474936420986,4242.460713311167,1977.0,156.0,0.52,false
0.3153889,34.297105,Yes,Protected Well,Well,9215.094853007116,742.8932501259945,1361.5968517987972,28499.024082046966,10315.983748498284,1975.0,102.0,0.34,false
0.5763117,34.4610583,Yes,Borehole/Tubewell,Well,10401.741276406969,6657.220098924973,3420.341110930373,42966.51794874304,11068.27634337108,2215.0,512.0,1.706666666666667,false
0.743416116,34.23819945,Yes,Borehole/Tubewell,Well,5765.694552759603,3689.278736104417,662.2897340936632,34649.84057827998,8712.672672256545,4232.0,426.0,1.42,false
0.743751739,34.29782931,Yes,Borehole/Tubewell,Well,12364.845053587916,5822.717815318782,4373.677110923449,38278.05632036045,8376.562349805712,1174.0,246.0,0.82,false
-1.1940130685,34.6152111481,Yes,Protected Well,Well,56924.64813735202,3760.0080757586575,287.01635447063126,60442.63686853394,143.6863474043323,5839.0,513.0,1.71,false
0.0396040965,34.7067865353,Yes,Protected Well,Well,11187.79369037741,523.0301755130912,2112.470837082468,16618.0552983388,1641.7593117272602,5099.0,217.0,0.723333333333333,false
0.0205725754,34.6959861248,Yes,Protected Well,Well,8775.14584704061,1009.3124986834392,1625.7786918704685,15112.731893459815,3934.923016935212,2960.0,168.0,0.56,false
-0.031525000929832,34.46686935424805,Yes,Borehole/Tubewell,Well,14679.208486820156,4791.394942227981,48.94896013102319,32942.60810313345,19391.23061083895,2591.0,345.0,1.15,false
-0.6909535587,34.6363209949,Yes,Protected Well,Well,13503.901140719656,7273.515885153381,39.17603746427775,14827.118569588289,8035.521277357005,1606.0,618.0,2.06,false
0.0299574618,34.7062921029,Yes,Protected Well,Well,10293.493539589925,76.28102063342017,2831.8911869524677,15628.917799044608,2402.868023211681,4007.0,141.0,0.47,false
-1.207893371582031,34.64967727661133,Yes,Borehole/Tubewell,Well,56643.75641042925,2893.642513107879,3469.6141581549828,60976.54994188221,4012.6820274804704,1327.0,444.0,1.48,false
-1.335955023765564,34.704002380371094,Yes,Borehole/Tubewell,Well,67179.4723410667,5640.189474152312,2204.560552782624,74043.98171448718,18403.400462483816,3043.0,804.0,2.68,false
-1.196128368377686,34.61638641357422,Yes,Borehole/Tubewell,Well,57074.05649060409,3964.514937483749,229.817082066774,60630.65770061573,125.65754803332712,5622.0,471.0,1.57,false
-1.065330028533936,34.34120559692383,Yes,Borehole/Tubewell,Well,63984.80894499522,3458.6351666505243,823.7336444173249,64584.70297975055,13957.15821943784,1031.0,880.0,2.933333333333333,false
-1.1959416667,34.6161216667,Yes,Borehole/Tubewell,Well,57068.91891358144,3949.3866531716913,265.4724887908,60619.02682973133,97.00339173851754,5622.0,471.0,1.57,false
-1.19037663936615,34.64363479614258,Yes,Borehole/Tubewell,Well,55171.96451472077,1974.3178910387453,2007.4770362688412,59239.96265904432,3125.4764680301587,1358.0,702.0,2.34,false
-1.089393377304077,34.58266830444336,Yes,Borehole/Tubewell,Well,48998.04016492618,5142.631265384174,560.9929716790365,50805.5885258411,12259.36899568149,2303.0,575.0,1.916666666666667,false
-1.1807330043,34.533514551,Yes,Protected Well,Well,60382.24197784568,6038.859933985856,2761.774025345137,62262.94151999099,8940.1211438721,873.0,148.0,0.493333333333333,false
-1.29612672328949,34.69485855102539,Yes,Borehole/Tubewell,Well,63622.67141535697,8199.859882272805,394.7395269837403,69772.63424831221,14211.582805102253,2047.0,1389.0,4.63,false
-1.2401686971,34.5951945022,Yes,Protected Well,Well,62484.26208014711,6046.728502043885,720.5473094257452,65970.42858672394,5494.250417480303,2438.0,211.0,0.703333333333333,false
-1.1778682676,34.5459830151,Yes,Borehole/Tubewell,Well,59328.81727083899,4903.813012624773,2386.105375183168,61404.388339468045,8015.667248150756,1491.0,249.0,0.83,false
-1.073755025863648,34.37129592895508,Yes,Borehole/Tubewell,Well,62296.87542823835,3911.511154213351,684.8240197289317,62823.23243913342,10636.83096878266,809.0,208.0,0.693333333333333,false
-1.376865029335022,34.71961212158203,Yes,Borehole/Tubewell,Well,70694.93523741173,1891.774247336465,4419.800132456714,78409.98812544935,23176.357051539588,3136.0,417.0,1.39,false
