latitude,longitude,status_id,water_source_category,distance_to_primary_road,distance_to_secondary_road,distance_to_tertiary_road,distance_to_city,distance_to_town,local_population_1km,water_point_population,pressure_score,is_urban
-0.15903699,35.193359,Yes,Piped Water,6747.666492259602,47.96727899062571,852.8696201303602,25039.90299197648,709.5153587694114,8643.992735002073,3975.8845928958867,64.80256548757667,false
-0.15886401,35.197674,Yes,Piped Water,7113.767704716646,46.74285836925269,463.8386097823518,24871.30563204927,1159.6498285446287,8662.572645357768,3966.954873470702,64.39159481298155,false
-0.16939799,35.234177,Yes,Piped Water,9997.019389484962,560.4949897138849,3814.9796814300175,22480.68010858392,5388.1257074120085,1428.0647113079926,302.5712149128635,1.0854981192328064,false
-0.3161,35.0079517,No,Piped Water,16749.403956867805,6148.899746140978,33.028830968292816,31155.69678175312,10398.791626264374,1370.5249232667868,929.5297102794586,3.0984323675981953,false
-0.3715559,34.9332255,No,Piped Water,21791.900743886275,9.068378853254837,185.99511211818657,35772.4730329798,14580.022248992256,1550.8736050558973,906.4033014017891,3.0213443380059637,false
-0.218352743,35.25941849,Yes,Piped Water,11651.278571317487,3224.95951591048,2029.910233908537,16606.5062850428,10528.22515882444,1396.4568477060277,308.6604469197622,3.1139709957665334,false
-0.4050442,34.9589398,No,Piped Water,24671.98581096216,1678.5481216044047,4697.831353788391,36155.96987865024,11618.50620061358,1991.741510743232,1526.8063850017927,5.089354616672643,false
-1.235278,35.784194,Yes,Well,15906.742013733832,26.46030342141241,10935.89632765075,111063.28879978604,18897.56499425776,60.0,60.0,0.2,false
-0.3939535,34.9958267,Yes,Piped Water,20454.66830176464,1949.3215713399725,3010.270393062957,32143.42349153299,7429.9837115918335,3043.6391176281863,2112.1693033075103,7.0405643443583665,false
-0.173741,34.919388,Yes,Piped Water,1815.6421710308232,10304.523180788236,154.4280313405389,19989.48081966319,154.42493359465058,6620.639745214242,388.24679122833294,1.2941559707611099,false
-0.3047567,34.9998817,No,Piped Water,16065.14996310464,4928.124893847002,1422.4745516868925,32282.153567228885,11941.58292842807,1719.7664038757925,1070.7232131376402,3.569077377125467,false
-1.1027,34.998,Yes,Well,35828.56279438505,12955.56170651198,15546.881531420524,54332.294319385226,16769.21860382153,292.0,292.0,0.973333333333333,false
-0.15962701,35.196663,Yes,Piped Water,6974.799681135407,117.87345100290746,599.4687784260317,24834.98784285616,1076.7765583608582,8610.700602078956,3995.0930147081626,68.91029428290354,false
-0.157455,35.197598,Yes,Piped Water,7212.415253900312,107.53714247857803,358.1305096229592,25016.604362279857,1129.4590892024266,8729.812511820477,4233.008423851714,75.08408457981156,false
-0.17001601,35.234058,No,Piped Water,9959.1853354916,505.23815067322624,3825.928556369872,22417.63702946033,5393.849011355389,1433.670469454223,314.1438844367651,1.2289785295036124,false
-0.17522299,34.925232,Yes,Piped Water,1165.9969816198648,11280.59665494773,760.3380929759052,20652.48996578915,760.371087697727,7093.962801333725,342.38615306374527,5.122092462067355,false
-0.153265,35.199825,Yes,Piped Water,7709.182217694868,534.6329074468446,49.06393662522017,25353.60733606078,1419.2176479243408,8737.779907728995,3770.701004975258,40.20276266636403,false
-0.3791849,34.901443,Yes,Piped Water,22952.41336392929,680.9882968961457,380.90865891630926,34669.57800406061,17994.02028829763,1321.7958240591888,958.6771876044277,3.1955906253480912,false
-0.2451,34.9588556,No,Piped Water,8220.108613712187,3118.908001388194,2333.422815100641,27682.886027799494,9181.691261566952,1810.3087008773853,958.459485941038,3.1948649531367934,false
-0.18748701,34.916115,Yes,Piped Water,2609.355891611595,10581.003526089578,1699.083635428964,20308.351420317074,1699.060057490664,3159.513110029729,777.3704653466565,15.349727122936715,false
-0.170261,35.231644,Yes,Piped Water,9699.88598080623,291.76089362908544,3585.779132995372,22458.666655925997,5144.077519587034,1386.5072936607896,306.75225796315203,5.121828982975878,false
-0.16934,35.232292,Yes,Piped Water,9805.41111375512,415.6494916661955,3615.610469671035,22538.84562813783,5184.283929532416,1399.513133597001,307.9017203387607,3.2832971197072918,false
-0.0790017,34.9796138,No,Piped Water,8170.411607556401,2724.078391212055,281.4057016927803,25234.519606555765,12335.983765526624,1967.6401186187745,622.1165009425075,2.0737216698083585,false
-0.177991,34.927044,Yes,Piped Water,1036.401362850679,11339.127542129376,1087.800028210028,20957.96125545734,1087.8266996578568,5785.622767230401,307.4810795313953,1.87422730646602,false
-0.15922201,35.196472,Yes,Piped Water,6988.565099752754,71.22393757922293,581.1814159582452,24884.51265810688,1042.9672910929132,8580.076238913218,4031.1674372076823,73.18613604634123,false
-0.15901101,35.194862,Yes,Piped Water,6871.663462263029,37.75532236340829,706.5233908670506,24976.115499133404,865.0376357480368,8615.701246379933,4014.2150395261874,69.38933831178294,false
-0.3704065,35.0053087,Yes,Piped Water,18393.561540454077,823.504096937529,2099.3568782544567,30948.18640488733,6820.975294406089,3161.367049763459,2155.448999129664,7.184829997098878,false
-0.2383882,34.9570859,No,Piped Water,7453.3893517494735,3870.832205467721,1888.167916878573,27103.832020727736,8438.782770526881,1653.5406541403188,869.8505008476528,2.899501669492175,false
-0.17682,34.924042,Yes,Piped Water,1320.9831974734884,10907.331587191557,743.9521327460676,20599.826110116053,743.9744331567474,6974.281028956852,311.8190529057628,5.55317262391579,false
-0.661388,34.9144981,Yes,Piped Water,9524.84116300379,5357.563673495715,749.0947265876018,16353.990454974386,8523.125750433464,2298.9095958398275,359.0649322294286,1.1968831074314288,false
-0.152697,35.202209,Yes,Piped Water,7946.199714713329,572.1394884700571,58.338803533120384,25316.21767443248,1691.8647973484344,8739.368153000112,3735.329972290776,36.64690624492099,false
-0.159135,35.192284,Yes,Piped Water,6653.822597095833,70.59301264529492,965.2571873908464,25078.07701821909,606.3094325351142,8651.63522594379,3956.0503569819602,62.901366123823145,false
-0.155182,35.19986,Yes,Piped Water,7567.801920104817,324.0008599710257,17.12897311409491,25155.06722866421,1384.5586049864137,8733.590032723954,3752.4021477252977,39.76726401603076,false
